Giro empresa,Empresa Exportadora,País destino,Producto
LÁCTEOS PASTEURIZADOS ,"SCHREIBER MÉXICO, S.A. DE C.V. (SILAO)",CHILE,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"KERRY INGREDIENTS DE MÉXICO, S.A. DE C.V. (IRAPUATO)",EL SALVADOR ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"KERRY INGREDIENTS DE MÉXICO, S.A. DE C.V. (SAN JUAN DEL RÍO)",EL SALVADOR ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"NESTLÉ MÉXICO, S.A. DE C.V. (OCOTLÁN)",EL SALVADOR ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"NESTLÉ MÉXICO, S.A. DE C.V. (COATEPEC)",EL SALVADOR ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"NESTLÉ MÉXICO, S.A. DE C.V. (QUERÉTARO CARNATION)",EL SALVADOR ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"NESTLÉ MÉXICO, S.A. DE C.V. (LAGOS DE MORENO)",EL SALVADOR ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"NESTLÉ MÉXICO, S.A. DE C.V. (NANTLI)",EL SALVADOR ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"NESTLÉ MÉXICO, S.A. DE C.V. (QUERÉTARO GERBER)",EL SALVADOR ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"COMPAÑÍA MANUFACTURERA ASTURIAS, S.A. DE C.V.",EL SALVADOR ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"SIGMA ALIMENTOS LACTEOS, S.A. DE C.V. (PLANTA LAGOS)",EL SALVADOR ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,MEAD JOHNSON NUTRICIONALES S. DE R.L. DE C. V. ,EL SALVADOR ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"DERIVADOS DE LECHE LA ESMERALDA, S.A. DE C.V.",EL SALVADOR ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,DANONE DE MÉXICO S.A. DE C.V.,EL SALVADOR ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"ILAS MÉXICO, S.A. DE C.V.",EL SALVADOR ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"MONDELEZ DE MÉXICO, S. DE R.L. DE C.V",EL SALVADOR ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"SCHREIBER MÉXICO, S.A. DE C.V. (SILAO)",EL SALVADOR ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"MEXICANA DE INDUSTRIAS Y MARCAS, S.A. DE C.V.",EL SALVADOR ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"PROLACNI, S.A. DE C.V.",EL SALVADOR ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"COMERCIALIZADORA DE LACTEOS Y DERIVADOS, S.A. DE C.V. (TORREON DERIVADOS)",GUATEMALA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"COMERCIALIZADORA DE LACTEOS Y DERIVADOS, S.A. DE C.V. (TORREON UHT)",GUATEMALA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"COMERCIALIZADORA DE LACTEOS Y DERIVADOS, S.A. DE C.V. (TORREON QUESOS)",GUATEMALA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"COMERCIALIZADORA DE LACTEOS Y DERIVADOS, S.A. DE C.V. (AGUASCALIENTES)",GUATEMALA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"COMERCIALIZADORA DE LACTEOS Y DERIVADOS, S.A. DE C.V. (IRAPUATO)",GUATEMALA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,COMERCIALIZADORA DE LÁCTEOS Y DERIVADOS S.A. DE C.V. (PLANTA VERACRUZ),GUATEMALA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"NESTLÉ MÉXICO, S.A. DE C.V. (LAGOS DE MORENO)",GUATEMALA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"NESTLÉ MÉXICO, S.A. DE C.V. (OCOTLÁN)",GUATEMALA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"NESTLÉ MÉXICO, S.A. DE C.V. (COATEPEC)",GUATEMALA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"NESTLÉ MÉXICO, S.A. DE C.V. (NANTLI)",GUATEMALA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"NESTLÉ MÉXICO, S.A. DE C.V. (QUERÉTARO GERBER)",GUATEMALA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"NESTLÉ MÉXICO, S.A. DE C.V. (QUERÉTARO CARNATION)",GUATEMALA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"SIGMA ALIMENTOS LACTEOS, S.A. DE C.V. (PLANTA LAGOS)",GUATEMALA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,MEAD JOHNSON NUTRICIONALES S. DE R.L. DE C. V. ,GUATEMALA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"HERSHEY MÉXICO, S.A. DE C.V.",GUATEMALA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"COMPAÑÍA MANUFACTURERA ASTURIAS, S.A. DE C.V.",GUATEMALA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,DANONE DE MÉXICO S.A. DE C.V.,GUATEMALA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"ILAS MÉXICO, S.A. DE C.V.",GUATEMALA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"MONDELEZ DE MÉXICO, S. DE R.L. DE C.V",GUATEMALA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,PASTEURIZADORA MAULEC. S.A. DE C.V.,GUATEMALA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,NUTRICAL S.A. DE C.V.,GUATEMALA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"SCHREIBER MÉXICO, S.A. DE C.V. (SILAO)",GUATEMALA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,MEXICANA DE INDUSTRIAS Y MARCAS S.A. DE C.V.,GUATEMALA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,D.M. MEXICANA S.A DE C.V. ,GUATEMALA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,COMPAÑÍA MANUFACTURERA ASTURIAS S.A. DE C.V.,HONDURAS,CONSUMO HUMANO 
